Category,X,Y
Residential,35,53
Residential,35,54
Residential,35,55
Residential,35,56
Residential,35,57
Residential,35,59
Residential,35,60
Residential,35,61
Residential,35,62
Residential,35,63
Residential,35,65
Residential,35,66
Residential,35,71
Residential,35,72
Residential,35,73
Residential,35,76
Residential,35,78
Residential,35,80
Residential,35,82
Residential,35,83
Residential,35,84
Residential,35,85
Residential,35,86
Residential,35,87
Residential,35,92
Residential,35,94
Residential,35,96
Residential,35,97
Residential,35,98
Residential,35,99
Residential,35,101
Residential,35,102
Residential,35,105
Residential,35,106
Residential,35,107
Residential,35,108
Residential,35,109
Residential,35,112
Residential,35,113
Residential,35,114
Residential,35,115
Residential,35,116
Residential,35,117
Residential,35,118
Residential,35,121
Residential,35,122
Residential,35,123
Residential,35,124
Residential,35,125
Residential,35,126
Residential,35,128
Residential,35,129
Residential,35,134
Residential,35,135
Residential,35,136
Residential,35,137
Residential,35,138
Residential,35,139
Residential,35,140
Residential,35,142
Residential,35,143
Residential,35,144
Residential,35,145
Residential,35,146
Residential,35,147
Residential,35,149
Residential,35,151
Residential,35,153
Residential,35,154
Residential,35,155
Residential,35,156
Residential,35,157
Residential,35,158
Residential,35,159
Residential,35,160
Residential,35,161
Residential,35,163
Residential,35,164
Residential,35,165
Residential,35,166
Residential,35,167
Residential,35,168
Residential,37,22
Residential,37,23
Residential,37,24
Residential,37,27
Residential,37,28
Residential,37,29
Residential,37,30
Residential,37,31
Residential,37,33
Residential,37,45
Residential,37,46
Residential,37,48
Residential,37,49
Residential,37,50
Residential,37,51
Residential,37,52
Residential,37,53
Residential,37,54
Residential,37,55
Residential,37,56
Residential,37,57
Residential,37,59
Residential,37,62
Residential,37,63
Residential,37,64
Residential,37,65
Residential,37,67
Residential,37,69
Residential,37,71
Residential,37,72
Residential,37,73
Residential,37,75
Residential,37,76
Residential,37,77
Residential,37,81
Residential,37,82
Residential,37,83
Residential,37,84
Residential,37,85
Residential,37,86
Residential,37,87
Residential,37,88
Residential,37,90
Residential,37,91
Residential,37,92
Residential,37,93
Residential,37,94
Residential,37,95
Residential,37,96
Residential,37,97
Residential,37,98
Residential,37,99
Residential,37,101
Residential,37,109
Residential,37,111
Residential,37,114
Residential,37,115
Residential,37,116
Residential,37,117
Residential,37,118
Residential,37,119
Residential,37,121
Residential,37,122
Residential,37,124
Residential,37,125
Residential,37,127
Residential,37,128
Residential,37,129
Residential,37,130
Residential,37,132
Residential,37,134
Residential,37,135
Residential,37,136
Residential,37,137
Residential,37,138
Residential,37,139
Residential,37,140
Residential,37,142
Residential,37,143
Residential,37,144
Residential,37,145
Residential,37,146
Residential,37,147
Residential,37,148
Residential,37,149
Residential,37,150
Residential,37,151
Residential,37,153
Residential,37,154
Residential,37,155
Residential,37,157
Residential,37,158
Residential,37,159
Residential,37,160
Residential,37,161
Residential,37,163
Residential,37,164
Residential,37,165
Residential,37,166
Residential,37,167
Residential,37,168
Residential,37,169
Residential,37,170
Residential,39,18
Residential,39,20
Residential,39,21
Residential,39,22
Residential,39,23
Residential,39,24
Residential,39,25
Residential,39,27
Residential,39,28
Residential,39,29
Residential,39,46
Residential,39,48
Residential,39,50
Residential,39,51
Residential,39,52
Residential,39,53
Residential,39,54
Residential,39,55
Residential,39,56
Residential,39,57
Residential,39,59
Residential,39,60
Residential,39,61
Residential,39,63
Residential,39,64
Residential,39,65
Residential,39,67
Residential,39,72
Residential,39,73
Residential,39,74
Residential,39,75
Residential,39,76
Residential,39,77
Residential,39,78
Residential,39,80
Residential,39,81
Residential,39,83
Residential,39,84
Residential,39,85
Residential,39,86
Residential,39,87
Residential,39,88
Residential,39,90
Residential,39,91
Residential,39,92
Residential,39,93
Residential,39,95
Residential,39,96
Residential,39,97
Residential,39,98
Residential,39,99
Residential,39,101
Residential,39,115
Residential,39,116
Residential,39,117
Residential,39,119
Residential,39,121
Residential,39,122
Residential,39,123
Residential,39,124
Residential,39,125
Residential,39,126
Residential,39,128
Residential,39,129
Residential,39,130
Residential,39,132
Residential,39,134
Residential,39,135
Residential,39,136
Residential,39,137
Residential,39,138
Residential,39,139
Residential,39,140
Residential,39,142
