x,y,neighborhood_id,HI_bar,X_i,omega_i
20,78,0,0.000000,0,0.730000
20,80,0,0.000000,0,0.730000
20,81,0,0.000000,0,0.730000
20,82,0,0.000000,0,0.730000
20,83,0,0.000000,0,0.730000
20,84,0,0.000000,0,0.730000
20,86,0,0.000000,0,0.730000
20,87,0,0.000000,0,0.730000
20,90,0,0.000000,0,0.730000
20,92,0,0.000000,0,0.730000
20,95,0,0.000000,0,0.730000
20,96,0,0.000000,0,0.730000
20,98,0,0.000000,0,0.730000
20,99,0,0.000000,0,0.730000
20,101,0,0.000000,0,0.730000
20,102,0,0.000000,0,0.730000
20,103,0,0.000000,0,0.730000
20,104,0,0.000000,0,0.730000
20,106,0,0.000000,0,0.730000
20,107,0,0.000000,0,0.730000
20,108,0,0.000000,0,0.730000
20,109,0,0.000000,0,0.730000
20,111,0,0.000000,0,0.730000
20,113,0,0.000000,0,0.730000
20,114,0,0.000000,0,0.730000
20,115,0,0.000000,0,0.730000
20,116,0,0.000000,0,0.730000
20,117,0,0.000000,0,0.730000
20,118,0,0.000000,0,0.730000
20,119,0,0.000000,0,0.730000
20,121,0,0.000000,0,0.730000
20,122,0,0.000000,0,0.730000
20,123,0,0.000000,0,0.730000
20,124,0,0.000000,0,0.730000
20,126,0,0.000000,0,0.730000
20,129,0,0.000000,0,0.730000
20,130,0,0.000000,0,0.730000
20,133,0,0.000000,0,0.730000
20,136,0,0.000000,0,0.730000
20,137,0,0.000000,0,0.730000
20,138,0,0.000000,0,0.730000
20,139,0,0.000000,0,0.730000
20,142,0,0.000000,0,0.730000
20,143,0,0.000000,0,0.730000
20,144,0,0.000000,0,0.730000
20,145,0,0.000000,0,0.730000
20,146,0,0.000000,0,0.730000
20,147,0,0.000000,0,0.730000
20,148,0,0.000000,0,0.730000
20,149,0,0.000000,0,0.730000
20,150,0,0.000000,0,0.730000
20,151,0,0.000000,0,0.730000
20,153,0,0.000000,0,0.730000
20,154,0,0.000000,0,0.730000
20,155,0,0.000000,0,0.730000
20,156,0,0.000000,0,0.730000
20,157,0,0.000000,0,0.730000
20,158,0,0.000000,0,0.730000
20,159,0,0.000000,0,0.730000
20,160,0,0.000000,0,0.730000
20,161,0,0.000000,0,0.730000
20,163,0,0.000000,0,0.730000
20,165,0,0.000000,0,0.730000
21,30,0,0.000000,0,0.730000
21,35,0,0.000000,0,0.730000
21,36,0,0.000000,0,0.730000
21,41,0,0.000000,0,0.730000
21,43,0,0.000000,0,0.730000
21,46,0,0.000000,0,0.730000
21,49,0,0.000000,0,0.730000
21,50,0,0.000000,0,0.730000
21,52,0,0.000000,0,0.730000
21,53,0,0.000000,0,0.730000
21,55,0,0.000000,0,0.730000
21,56,0,0.000000,0,0.730000
21,63,0,0.000000,0,0.730000
21,66,0,0.000000,0,0.730000
21,69,0,0.000000,0,0.730000
21,73,0,0.000000,0,0.730000
21,83,0,0.000000,0,0.730000
21,84,0,0.000000,0,0.730000
21,85,0,0.000000,0,0.730000
21,86,0,0.000000,0,0.730000
21,87,0,0.000000,0,0.730000
21,90,0,0.000000,0,0.730000
21,93,0,0.000000,0,0.730000
21,94,0,0.000000,0,0.730000
21,95,0,0.000000,0,0.730000
21,96,0,0.000000,0,0.730000
21,97,0,0.000000,0,0.730000
21,99,0,0.000000,0,0.730000
21,101,0,0.000000,0,0.730000
21,102,0,0.000000,0,0.730000
21,103,0,0.000000,0,0.730000
21,106,0,0.000000,0,0.730000
21,107,0,0.000000,0,0.730000
21,108,0,0.000000,0,0.730000
21,109,0,0.000000,0,0.730000
21,111,0,0.000000,0,0.730000
21,112,0,0.000000,0,0.730000
21,113,0,0.000000,0,0.730000
21,114,0,0.000000,0,0.730000
21,115,0,0.000000,0,0.730000
21,117,0,0.000000,0,0.730000
21,118,0,0.000000,0,0.730000
21,119,0,0.000000,0,0.730000
21,122,0,0.000000,0,0.730000
21,123,0,0.000000,0,0.730000
21,125,0,0.000000,0,0.730000
21,126,0,0.000000,0,0.730000
21,127,0,0.000000,0,0.730000
21,128,0,0.000000,0,0.730000
21,129,0,0.000000,0,0.730000
21,132,0,0.000000,0,0.730000
21,134,0,0.000000,0,0.730000
21,135,0,0.000000,0,0.730000
21,136,0,0.000000,0,0.730000
21,139,0,0.000000,0,0.730000
21,140,0,0.000000,0,0.730000
21,144,0,0.000000,0,0.730000
21,145,0,0.000000,0,0.730000
21,147,0,0.000000,0,0.730000
21,148,0,0.000000,0,0.730000
21,150,0,0.000000,0,0.730000
21,151,0,0.000000,0,0.730000
21,153,0,0.000000,0,0.730000
21,154,0,0.000000,0,0.730000
21,155,0,0.000000,0,0.730000
21,158,0,0.000000,0,0.730000
21,159,0,0.000000,0,0.730000
21,160,0,0.000000,0,0.730000
21,161,0,0.000000,0,0.730000
21,163,0,0.000000,0,0.730000
21,164,0,0.000000,0,0.730000
21,165,0,0.000000,0,0.730000
23,31,0,0.000000,0,0.730000
23,33,0,0.000000,0,0.730000
23,34,0,0.000000,0,0.730000
23,35,0,0.000000,0,0.730000
23,36,0,0.000000,0,0.730000
23,38,0,0.000000,0,0.730000
